Titulo;Seleccion;Categoria;Descripcion;Materiales;Medidas;Comentario_precio;precio;Imagen_1;Imagen_2
Choker Mix Piedras Naturales;n;Colgante;Confeccionados con piedras naturales alternadas con bolitas de acero quir£rgico. S£per nobles y duraderos. Record† que personalizamos. Pueden realizarse en colores de tu preferencia.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio promedio :  $ 28.000 (sujeto a materiales elegidos);18000;013_choker_mix_piedras_naturales.jpg;
Corbatero Dije Penta;n;Accesorio;Realizado con gamuzas de distintos colores.  Pasantes met†licos y de piedra reconstituida.   Terminaciones muy finas de cristales varios.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio  :  $ 18.000;18000;014_corbatero_dije_penta.jpg;
Corbat°n Ovalo;n;Accesorio;Corbat°n de gamuza de altura regulable con dije ovalado y niquelado.  Detalle terminal con cristales.   Se puede regular su altura para usarlo con distintos escotes.   Muy delicado!;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio :  $  18.000;18000;015_corbatin_ovalo.jpg;
Corbat°n triple pasante Cristal;n;Accesorio;Corbat°n de triple gamuza de altura regulable, jugando con su fin°simo pasante con cristales. Se puede regular su altura para usarlo con distintos escotes.   Muy delicado! Hay variedad de colores. Consultanos disponibilidad.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio :  $ 22.000;22000;016_corbatin_triple_pasante_cristal.jpg;
Pulseras Acero Q. y Cristalis;s;Pulsera;"Realizadas con bolitas de acero quir£rgico con detalles de cristales de colores, elastizadas o con mosquet¢n de tambiÇn de acero quir£rgico. Ideales para usarlas todo el tiempo! Los colores son a  tu elecci¢n. Consultanos disponibilidad. o $ 23.500 (de 4"") (sujeto a cristales y  adicionales elegidos).";Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;"Precio promedio $ 20.000  (de 3"")";20000;017_pulseras_acero_q_y_cristalis.jpg;
Collar Fimo Cubo;n;Collar;Collares confeccionados con mix de materiales muy fieles. Se pueden combinar fimo de distintos colores con fimos c£bicos, cristales, pasantes de metal o de acero quir£rgico.  Te mostramos opciones y elegis a tu gusto. Se realizan a pedido y en el largo que solicites.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio promedio :  $ 20.000 (sujeto a materiales elegidos);20000;018_collar_fimo_cubo.jpg;
Straps Carteras;n;Colgante;Ideales para embellecer  y darle un toque a tus carteras, llaveros, pendrives, entre otras opciones. Hay muchos dise§os, colores y dijes. No dudes en consultarnos y record† que personalizamos.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio: $ 17.000;17000;019_straps_carteras.jpg;
Collar TESI;n;Collar;Contiene piedras †gatas, cristalitos y mostacillones.  Se puede confeccionar en tonos que sean de tu agrado. Podes sumarle la pulsera PIETRA haciendo juego. Consultanos disponibilidad. Se realizan a pedido y en  el largo que solicites.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio: $  25.000;25000;020_collar_tesi.jpg;
Collar OLIMPIC;n;Collar;Chokers confeccionados con anillas labradas o lisas y mosquet¢n acero quir£rgico. Combinados con diferentes colores de cordones o gamuzas.  Lo eleg°s a tu gusto. Se realizan a pedido y en el largo que solicites.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio:  $ 22.000;22000;021_collar_olimpic.jpg;
Collar PICOLI;n;Collar;"Collar estilo ""corbatero"".  Realizado con piedras naturales, cristales y dijes de acero. Se puede confeccionar en tonos que sean de tu agrado. Consultanos disponibilidad. Se realizan a pedido y en el largo que prefieras.";Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio: $  35.000;35000;022_collar_picoli.jpg;
Pulsera PIETRA;n;Pulsera;Confeccionadas con piedras naturales,  combinadas con separadores, terminales y mosquet¢n en acero quir£rgico. El color es a tu elecci¢n. Consultanos disponibilidad.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio promedio $ 15.000 (sujeto a adicionales elegidos).;15000;023_pulsera_pietra.jpg;
Collar MAXI CUORE;n;Collar;Cadena con maxi dije calado en forma de coraz¢n, todo en acero quir£rgico.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio: $ 22.000;22000;024_collar_maxi_cuore.jpg;
Dijes MOVIBLES;n;Dije;Variedad de  dijes movibles, realizados con piedras naturales de m£ltiples colores, sujetas a arandelas y/o mosquetones de acero quir£rgico.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio: $ 7.000;7000;025_dijes_movibles.jpg;
Pulseras CRISTALIS;n;Pulsera;Son elastizadas.  Est†n realizadas con cristalitos de distintos colores, y formas combinados con separadores y terminales de acero quir£rgico. El color es a tu elecci¢n.  Consultanos disponibilidad.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio promedio s¢lo cristalitos $ 9.000;9000;026_pulseras_cristalis.jpg;
Choker CENTRO CUBO;n;Accesorio;Modelo Choker.    Para llevar ce§ido al cuello, o en el largo que prefieras. Confeccionado con mostacillones de la india, combinados con bolitas niqueladas y cierre mosquet¢n de acero quir£rgico. Se realizan a pedido y en varios colores y medidas. Consult† disponibilidad.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio:  $ 15.000;15000;027_choker_centro_cubo.jpg;
Pulseras TUBO;n;Pulsera;Son elastizadas. Confeccionadas con maxi cristales de distintos colores, combinados con separadores, terminales y tubo alargado todo de acero quir£rgico. El color es a tu elecci¢n.  Consultanos disponibilidad.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio:  $ 15.000 (sujeto a adicionales elegidos);15000;028_pulseras_tubo.jpg;
Collar R‡TOLA TAMBURE;n;Collar;Confeccionado con argollas onduladas, irregulares y labradas de metal, complementadas con pasantes y separadores de acero quir£rgico. Podes elegir el color de gamuza. Consultanos disponibilidad. Se realizan a pedido y en la medida que solicites;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio: $ 15000;15000;029_collar_rotola_tambure.jpg;
Collar ESLAB‡N MIX;n;Collar;Eslabones niquelados s£per livianos, combinados con centro de cristales y discos de fimo de diversos colores.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio: $ 20.000;20000;030_collar_eslabon_mix.jpg;
Collar GLAM;n;Collar;Hermoso collar realizado con perlas de vidrio  opacas, unidas por arandelas en acero quir£rgico.  Su terminal es met†lico, de dise§o muy fino y su mosquet¢n, de acero quir£rgico . Podes combinarlo con la pulsera GLAM.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio:  $ 35.000;25000;031_collar_glam.jpg;
Straps CELULAR;n;Colgante;Ideales para embellecer y  sujetar de manera segura el celular.   Realizado a elecci¢n,  con cristalitos,  pasantes acero quir£rgico, y detalles (ojo turco y otros). Opci¢n detalle con letra inicial nombre. Hay muchos dise§os, colores y dijes. No dudes en consultarnos.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio: $ 18.000;18000;032_straps_celular.jpg;
Collar MYRELI;n;Collar;"Collar estilo ""corbatero"" en cord¢n, argollas y pasantes met†licos. Hay opci¢n en otros colores. Consultanos.";Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio: $ 15.000;15000;033_collar_myreli.jpg;
Collar FIUMINA MIX;n;Collar;Realizado con donas de Fimo, combinadas con mostacillones y  pasantes met†licos. Cierre en acero quir£rgico.  Lleva dije en acero blanco.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio: $ 20.000;20000;034_collar_fiumina_mix_2.jpg;
Pulseras CRISTALIS MAXI;s;Pulsera;Son elastizadas.  Est†n realizadas con cristales grandes combinados con separadores y terminales de acero quir£rgico. Hay opciones de colores.  Consultanos disponibilidad.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio promedio $ 13.000;13000;035_pulseras_cristalis_maxi.jpg;
Collar ESLAB‡N R‡TOLA;n;Collar;Cadena de eslabones peque§os, color plata o dorado.  S£per liviana. Dise§o corbatero.  Puede combinarse con lateral de perlas de vidrio o cristales. Podes personalizarlo a tu gusto.  Consultanos opciones y disponibilidad.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio: $ 20.000 (todo eslabones);20000;036_collar_eslabon_rotola.jpg;
Collar REGIA;n;Collar;Realizado con cristales combinados con pasantes y dijes met†licos. Cierre mosquet¢n acero quir£rgico.  S£per elegante. El color y el dije, pueden ser a tu gusto.  Consultanos opciones y disponibilidad.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio: $ 23.000;23000;037_collar_regia.jpg;
Collar BOLA ACERO;n;Collar;Collar con cadena y bola pasante, todo en acero quir£rgico.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio: $ 15.000;15000;038_collar_bola_acero.jpg;
Collar DOBLE BOLA ACERO;n;Collar;Collar con doble cadena, en cascada, y dijes bola pasantes, todo en acero quir£rgico.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio:  $ 24.000;24000;039_collar_doble_bola_acero.jpg;
Collar DIJES FRASES;n;Collar;Collar con  dije con frases, todo en acero quir£rgico.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio: $ 15.000;15000;040_collar_dijes_frases.jpg;
Pulsera ESLABONES MINI;n;Pulsera;Pulsera de eslabones peque§os, en acero quir£rgico, con dije letra y cristalito. Podes elegir dijes.  Hay otras variantes. Consultanos opciones y disponibilidad.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio: $ 13.000;13000;041_pulsera_eslabones_mini.jpg;
Collar BARRITA;n;Collar;Collar con cadena y dije barrita macizo, todo en acero quir£rgico. Ideal para agregarle alg£n dije movible de piedra natural.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio: $ 20.000;20000;042_collar_barrita.jpg;
Collar ESLAB‡N MULTI DIJES;n;Collar;Cadena de eslabones de aluminio color plata. S£per livianas. Ideales para llevar solas o complementando otros collares. Podes elegir dijes.  Hay otras variantes. Consultanos opciones y disponibilidad.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio: $ 18.000;18000;043_collar_eslabon_multi_dijes.jpg;
Collar ANABELA;n;Collar;Mezcla de piedras naturales con bolitas y pasantes de metal. Se pueden confeccionar en colores a tu gusto.  Est† pensado para usarlo por mitades, combinando dos gamas de colores distintas para usarlo con diferentes outfits.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio:  $ 23.000;23000;044_collar_anabela.jpg;
Collar ANELLIS;n;Collar;Modelo Choker.    Para llevar ce§ido al cuello, o en el largo que prefieras. Se puede confeccionar con anillas labradas o lisas. TambiÇn en diferentes colores de cordones o gamuzas. Lo eleg°s a tu gusto. Se realizan a pedido y en la medida que solicites.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio:  $ 19.000;19000;045_collar_anellis.jpg;
Collar R‡TOLA DOBLE;n;Collar;Confeccionado en cord¢n, con argollas onduladas, irregulares y labradas de metal, complementadas con bolitas de acero quir£rgico. Podes elegir el color de cord¢n. Se realizan a pedido y en el largo que solicites.;Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio:  $ 17.000;17000;046_collar_rotola_doble.jpg;
Collar FIUMINA MIX;n;Collar;Realizado con donas de Fimo y mostacillones.  Combinado con separadores met†licos.  Cierre marinero acero quir£rgico y dijes de metal. Podes sumarle la letra de tu inicial (costo adicional);Piedra sintÇtica y acero;Largo regulable: 40 a 46 cm;Precio: $ 20.000;20000;047_collar_fiumina_mix_3.jpg;
